district,district_id,kebele,kebele_id
Amhara ,33,Aymat ,3301
Amhara ,33,Agrit ,3302
Amhara ,33,Akat ,3303
Amhara ,33,Taja ,3304
Amhara ,33,Wekete ,3305
Amhara ,33,Timtimat ,3306
Amhara ,33,Gashena ,3307
Amhara ,33,Hamusit Silasie ,3308
Amhara ,33,Workaye ,3309
Amhara ,33,Mekuat Mariam ,3310
Amhara ,33,Yewotet ,3311
Amhara ,33,Yedogit ,3312
Amhara ,33,Kokit ,3313
Amhara ,33,Maserut ,3314
Amhara ,33,Arbit ,3315
Amhara ,33,Hana Mekuat ,3316
Amhara ,33,Betehor ,3317
Amhara ,33,Workwuha ,3318
Tigray ,55,Hadnet ,5501
Tigray ,55,Adi Kuenti ,5502
Tigray ,55,Resetu ,5503
Tigray ,55,Awleao ,5504
Tigray ,55,Guderbo ,5505
Tigray ,55,Hoseya ,5506
Tigray ,55,Melfa ,5507
Tigray ,55,Bowak ,5508
Tigray ,55,Adawro ,5509
Tigray ,55,May sedri ,5510
Tigray ,55,Meda golat ,5511
Tigray ,55,Golat ,5512
Tigray ,55,Tetay Geza ,5513
Tigray ,55,Telay Geza ,5514
Tigray ,55,Mahbere Selasie ,5515
Tigray ,55,Chencherema ,5516
Tigray ,55,Adi Gerathi ,5517
Tigray ,55,Maygua ,5518
Oromia ,77,Ejersa ,7701
Oromia ,77,Dawa Combolcha ,7702
Oromia ,77,Gash Amba ,7703
Oromia ,77,Wole Amba ,7704
Oromia ,77,Anchekore ,7705
Oromia ,77,Jergedam ,7706
Oromia ,77,Agegne ,7707
Oromia ,77,Rome ,7708
Oromia ,77,Kusaye ,7709
Oromia ,77,Bero ,7710
Oromia ,77,Birtilik ,7711
Oromia ,77,Gerba ,7712
Oromia ,77,Mangudo ,7713
Oromia ,77,Bolo ,7714
Oromia ,77,Bero ,7715
Oromia ,77,Weyra Amba ,7716
Oromia ,88,Tlity ,8801
Oromia ,88,Goro Lume ,8802
Oromia ,88,Ejerewelkite ,8803
Oromia ,88,Gendebela ,8804
Oromia ,88,Nanawa ,8805
Oromia ,88,Tululola ,8806
Oromia ,88,Habru Seftu ,8807
Oromia ,88,Adadi golie ,8808
Oromia ,88,Kersa ,8809
Oromia ,88,Lemlemchefe ,8810
Oromia ,88,Adadagolie ,8811
Oromia ,88,Koca ,8812
Oromia ,88,Seftu Dumuga ,8813
Oromia ,88,Goro Dugdadera ,8814
Oromia ,88,Goliegibi ,8815
