"model","year","gain","se","se_min","se_max"
"M3DB","1",0.226152776000615,0.0350466728940406,0.191106103106574,0.261199448894655
"M3DB","2",0.204798744718152,0.0508390361810146,0.153959708537137,0.255637780899166
"M3DB","3",0.221289976797678,0.0498350208732066,0.171454955924471,0.271124997670884
"M3DB","4",0.207462712977152,0.0506674576942017,0.15679525528295,0.258130170671354
"M3DB","5",0.221924254954582,0.0497990129568547,0.172125241997728,0.271723267911437
"M3DB","6",0.2451388354973,0.0485943394722042,0.196544496025095,0.293733174969504
"M3DB","7",0.21241008260101,0.0503587699822596,0.16205131261875,0.262768852583269
"M3DB","8",0.222600818321948,0.0497608022350271,0.17284001608692,0.272361620556975
"M3DB","9",0.189026361216451,0.0519401673704367,0.137086193846015,0.240966528586888
"M3DB","10",0.25566785290192,0.0481117969876195,0.2075560559143,0.303779649889539
"M3DB","11",0.231227001255853,0.0492908177101456,0.181936183545708,0.280517818965999
"M3DB","12",0.239810898979299,0.048852684289376,0.190958214689923,0.288663583268675
"M3DB","13",0.263363761205699,0.0477807170036842,0.215583044202014,0.311144478209383
"M3DB","14",0.215327762122772,0.0501825270981839,0.165145235024588,0.265510289220956
"M3DB","15",0.200105086357056,0.0511509711405655,0.14895411521649,0.251256057497621
